 [ 6.06315388e+01  5.37395719e+01]
 [ 6.20839528e+01  6.26340621e+01]
 [ 6.02364929e+01  5.20771490e+01]
 [ 5.77707847e+01  6.76040960e+01]
 [ 5.08361395e+01  6.70105583e+01]
 [ 7.84286293e+01  4.91448416e+01]
 [ 5.05581452e+01  3.31596063e+01]
 [-4.86108389e+01  6.89632853e+01]
 [ 3.91585372e+01  3.16393358e+01]
 [ 4.33320471e+01  3.61350655e+01]
 [ 5.97177229e+01  7.42434010e+01]
 [ 5.62966551e+01  3.58228519e+01]
 [ 5.92700213e+01  6.49839344e+01]
 [ 3.83828468e+01  6.21873361e+01]
 [ 4.25328373e+01  4.19257319e+01]
 [ 5.25480009e+01  3.80079996e+01]
 [ 5.23466467e+01  7.31048155e+01]
 [ 5.36102666e+01  3.37432935e+01]
 [ 5.50607423e+01  6.77919557e+01]
 [ 6.46641283e+01  3.77563190e+01]
 [ 5.69537311e+01  3.62502758e+01]
 [ 6.97815540e+01  5.75855519e+01]
 [ 7.96657704e+01  4.91940677e+01]
 [ 3.89135263e+01  6.30975040e+01]
 [ 3.16466322e+01  6.02074296e+01]
 [ 8.36233366e+01  4.84703681e+01]
 [ 6.43892140e+01  5.63544896e+01]
 [ 3.70721219e+01  5.92893241e+01]
 [ 5.61372441e+01  6.98925518e+01]
 [ 6.30068443e+01  4.09454154e+01]
 [ 6.00366977e+01  7.15918707e+01]
 [ 7.80192898e+01  4.63131727e+01]
 [ 6.12173510e+01  4.70023817e+01]
 [ 3.36899164e+01  5.05096710e+01]
 [ 4.27866929e+01  5.04072264e+01]
 [ 3.98249947e+01  5.92726960e+01]
 [ 4.94483797e+01  6.79915905e+01]
 [ 4.73358467e+01  5.27943587e+01]
 [ 6.10400501e+01  4.60082383e+01]
 [ 6.07690397e+01  6.66710935e+01]
 [ 4.18138525e+01  6.48519354e+01]
 [ 6.96949534e+01  5.75701137e+01]
 [ 3.29474298e+01  4.65976176e+01]
 [ 6.65227713e+01  5.82010484e+01]
 [ 5.65674983e+01  7.71787624e+01]
 [ 5.65536099e+01  6.44274294e+01]
 [ 6.03426833e+01  6.67753440e+01]
 [ 6.83557660e+01  5.94061803e+01]
 [ 4.70023282e+01  5.80943973e+01]
 [ 7.99654097e+01  4.94850642e+01]
 [ 5.42805844e+01  7.76087636e+01]
 [ 5.37927207e+01  7.91167410e+01]
 [ 7.27426797e+01  5.64082859e+01]
 [ 3.08054376e+01  4.93732086e+01]
 [ 6.09667451e+01  7.92592246e+01]
 [ 6.42484460e+01  3.68777038e+01]
 [ 7.70133451e+01  4.68152138e+01]
 [ 4.53325526e+01  6.72345613e+01]
 [ 5.09560177e+01  5.49907537e+01]
 [ 7.39751230e+01  5.68265632e+01]
 [ 3.31517809e+01  4.96325465e+01]
 [ 6.07287797e+01  7.89677883e+01]
 [ 3.93981361e+01  4.28328601e+01]
 [ 6.01420405e+01  7.84008979e+01]
 [ 2.81649393e+01  3.70017210e+01]
